region,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size
arizona,4827,no,basic,college,1/17/11,unemployed,f,64375,suburban,single,68,29,91,0,6,personal auto,personal l3,offer1,branch,326,four-door car,medsize
california,7664,no,basic,college,1/23/11,employed,m,60184,rural,divorced,199,7,44,1,1,personal auto,personal l3,offer2,web,161,luxury suv,medsize
california,3593,no,extended,college,2/5/11,disabled,f,18213,suburban,divorced,96,12,43,1,1,corporate auto,corporate l2,offer1,branch,460,four-door car,large
nevada,9863,no,extended,master,2/28/11,employed,f,99654,rural,married,121,13,95,0,3,personal auto,personal l3,offer3,call center,272,suv,medsize
california,5111,no,basic,high school or below,2/13/11,employed,f,76448,suburban,married,63,9,13,0,3,personal auto,personal l3,offer3,web,302,four-door car,medsize
arizona,2590,no,basic,high school or below,1/3/11,employed,m,22398,suburban,married,67,16,76,0,1,personal auto,personal l1,offer1,agent,321,four-door car,large
arizona,2452,no,basic,high school or below,1/25/11,employed,f,51085,suburban,married,62,4,58,1,1,personal auto,personal l3,offer3,call center,406,two-door car,small
oregon,2194,no,basic,college,1/2/11,unemployed,m,42243,suburban,single,62,11,48,0,1,personal auto,personal l3,offer4,call center,623,four-door car,medsize
california,4473,no,extended,high school or below,2/16/11,unemployed,f,44254,suburban,divorced,125,2,84,0,1,personal auto,personal l1,offer1,branch,600,suv,medsize
arizona,19435,no,extended,high school or below,2/1/11,employed,f,38688,suburban,single,249,22,6,0,3,special auto,special l3,offer1,agent,2294,luxury car,medsize
oregon,2457,no,basic,high school or below,1/27/11,employed,f,52926,suburban,married,61,2,92,0,1,personal auto,personal l3,offer1,call center,292,four-door car,medsize
oregon,6870,no,premium,college,1/24/11,unemployed,m,13352,suburban,single,105,5,87,0,3,personal auto,personal l3,offer1,branch,756,four-door car,small
california,14019,no,basic,college,2/18/11,employed,m,31739,suburban,divorced,71,10,29,0,2,personal auto,personal l3,offer4,call center,469,two-door car,small
arizona,5575,no,basic,high school or below,1/26/11,employed,m,91416,rural,married,69,1,39,0,5,personal auto,personal l3,offer2,call center,109,four-door car,medsize
oregon,5651,no,basic,bachelor,1/19/11,employed,m,44634,suburban,married,71,16,99,1,9,personal auto,personal l3,offer1,branch,396,four-door car,small
california,4556,no,basic,bachelor,2/14/11,medical leave,m,25617,suburban,divorced,63,22,3,0,3,personal auto,personal l3,offer2,call center,302,two-door car,medsize
washington,2108,no,basic,bachelor,1/2/11,unemployed,m,19823,suburban,single,61,8,91,0,1,personal auto,personal l2,offer1,agent,351,two-door car,medsize
oregon,3095,no,extended,college,1/12/11,unemployed,f,53530,suburban,single,92,31,24,1,1,personal auto,personal l3,offer3,web,774,two-door car,small
arizona,5860,no,basic,bachelor,2/1/11,employed,m,94527,rural,married,73,16,32,0,3,personal auto,personal l1,offer1,agent,41,four-door car,medsize
oregon,2300,yes,basic,bachelor,1/15/11,retired,m,25905,suburban,divorced,63,21,12,0,1,corporate auto,corporate l3,offer1,agent,302,four-door car,large
california,4950,no,basic,high school or below,1/20/11,employed,f,27400,suburban,married,63,14,78,1,9,personal auto,personal l1,offer3,agent,302,four-door car,medsize
washington,7507,yes,basic,college,2/6/11,employed,m,60920,urban,single,64,22,61,1,2,personal auto,personal l3,offer2,agent,231,two-door car,medsize
nevada,2224,no,basic,college,1/5/11,unemployed,f,48500,suburban,single,64,20,4,0,1,corporate auto,corporate l2,offer2,branch,483,four-door car,medsize
oregon,2867,yes,extended,bachelor,1/3/11,retired,f,23376,suburban,divorced,78,19,18,0,1,personal auto,personal l3,offer2,call center,374,four-door car,medsize
oregon,5427,no,basic,college,2/11/11,medical leave,f,27677,suburban,married,72,10,82,1,3,personal auto,personal l3,offer2,agent,345,four-door car,medsize
arizona,12157,no,extended,high school or below,1/7/11,employed,m,40432,suburban,married,77,21,66,0,2,personal auto,personal l3,offer3,agent,369,four-door car,medsize
california,8152,no,extended,high school or below,1/21/11,unemployed,m,35997,suburban,single,79,19,70,0,2,personal auto,personal l1,offer1,agent,568,four-door car,small
arizona,2191,no,basic,college,1/29/11,unemployed,m,21858,suburban,single,61,9,16,1,1,special auto,special l2,offer1,agent,439,four-door car,medsize
oregon,26346,no,extended,high school or below,1/20/11,employed,m,48268,suburban,divorced,223,28,26,0,2,personal auto,personal l2,offer1,web,1605,luxury suv,medsize
oregon,2364,no,basic,college,1/18/11,employed,m,46264,urban,single,62,17,75,0,1,corporate auto,corporate l1,offer4,branch,199,four-door car,medsize
california,2710,no,basic,doctor,1/11/11,unemployed,m,91459,suburban,married,71,7,87,0,1,personal auto,personal l3,offer1,agent,340,four-door car,small
washington,74228,no,extended,high school or below,1/26/11,unemployed,m,65747,suburban,single,242,1,34,0,2,personal auto,personal l1,offer1,branch,1742,luxury car,medsize
california,14687,no,extended,bachelor,2/23/11,unemployed,m,34575,suburban,single,85,3,61,0,2,personal auto,personal l1,offer1,web,612,four-door car,small
arizona,9312,no,premium,high school or below,2/13/11,employed,m,75986,rural,married,115,11,44,0,3,personal auto,personal l3,offer3,call center,89,four-door car,medsize
california,7750,no,basic,college,2/23/11,employed,f,22668,rural,single,67,5,34,1,2,personal auto,personal l2,offer3,branch,33,four-door car,medsize
washington,2540,no,basic,master,2/28/11,employed,m,42557,rural,single,65,4,35,0,1,personal auto,personal l3,offer4,agent,57,four-door car,large
arizona,2456,no,basic,high school or below,2/15/11,unemployed,m,92731,suburban,single,73,15,59,0,1,personal auto,personal l3,offer4,branch,525,four-door car,small
oregon,3755,no,extended,high school or below,1/4/11,employed,f,56178,suburban,married,94,1,39,0,1,personal auto,personal l3,offer2,branch,451,four-door car,medsize
arizona,5181,no,basic,college,2/2/11,unemployed,f,90520,suburban,married,70,23,64,0,7,personal auto,personal l1,offer1,branch,336,four-door car,large
oregon,32474,no,basic,high school or below,1/22/11,employed,m,71449,suburban,divorced,102,17,7,0,2,personal auto,personal l3,offer4,call center,734,suv,small
california,8349,no,basic,bachelor,1/9/11,employed,m,45428,urban,divorced,109,14,46,0,3,corporate auto,corporate l3,offer1,call center,487,suv,medsize
oregon,8126,no,basic,college,2/22/11,disabled,f,14616,suburban,married,107,9,73,0,3,personal auto,personal l3,offer1,agent,513,four-door car,medsize
arizona,13466,yes,basic,high school or below,2/23/11,disabled,f,11432,suburban,married,119,8,9,3,2,corporate auto,corporate l3,offer2,agent,571,four-door car,medsize
arizona,5210,no,basic,bachelor,1/4/11,employed,m,89781,rural,single,66,7,89,0,5,special auto,special l2,offer1,agent,37,four-door car,small
oregon,6941,no,basic,college,2/11/11,unemployed,f,85928,suburban,single,111,3,73,3,6,personal auto,personal l3,offer1,agent,532,suv,small
california,7048,no,basic,college,2/19/11,medical leave,m,24030,suburban,single,194,14,0,0,1,personal auto,personal l1,offer1,agent,970,luxury suv,medsize
arizona,26770,no,basic,college,1/23/11,employed,f,26335,urban,married,113,32,7,1,2,personal auto,personal l2,offer1,call center,355,suv,large
nevada,9549,no,basic,high school or below,2/9/11,employed,f,55986,urban,married,119,3,60,0,9,personal auto,personal l1,offer1,agent,388,suv,small
washington,4331,no,basic,high school or below,2/11/11,employed,f,82302,suburban,married,106,11,92,0,1,personal auto,personal l2,offer1,branch,722,suv,medsize
washington,7294,no,basic,college,2/24/11,unemployed,f,63831,suburban,single,113,12,66,2,7,personal auto,personal l3,offer1,call center,733,sports car,medsize
oregon,3289,no,extended,college,1/29/11,employed,m,40097,rural,single,92,23,35,4,1,personal auto,personal l2,offer1,call center,227,two-door car,medsize
oregon,2505,no,basic,master,2/14/11,employed,f,60546,rural,single,63,21,71,0,1,personal auto,personal l3,offer2,branch,46,four-door car,large
arizona,3417,no,extended,high school or below,1/25/11,employed,f,72460,urban,married,85,9,76,0,1,personal auto,personal l2,offer2,call center,370,four-door car,medsize
california,16320,no,extended,high school or below,2/27/11,unemployed,f,40424,suburban,single,247,5,12,3,5,personal auto,personal l2,offer2,branch,1778,luxury car,medsize
california,2838,no,extended,bachelor,2/7/11,unemployed,f,12873,urban,divorced,80,30,8,0,1,personal auto,personal l1,offer1,web,336,four-door car,medsize
california,4700,no,basic,college,2/18/11,employed,f,76694,suburban,married,117,34,23,0,1,personal auto,personal l1,offer4,agent,561,suv,medsize
arizona,2471,yes,basic,high school or below,1/15/11,employed,m,95697,rural,married,61,16,55,0,1,personal auto,personal l2,offer2,agent,114,two-door car,medsize
arizona,10130,no,extended,doctor,1/17/11,employed,f,59232,suburban,divorced,85,6,75,0,2,corporate auto,corporate l3,offer3,branch,408,two-door car,medsize
california,3419,no,extended,high school or below,2/13/11,employed,m,40272,rural,married,86,8,64,0,1,personal auto,personal l3,offer3,agent,23,two-door car,medsize
california,23866,no,extended,high school or below,2/14/11,unemployed,f,48541,suburban,married,81,27,93,1,2,personal auto,personal l2,offer3,branch,388,four-door car,medsize
arizona,8324,no,extended,high school or below,1/1/11,unemployed,m,54772,suburban,single,121,34,92,0,5,corporate auto,corporate l3,offer2,branch,871,sports car,medsize
arizona,3179,no,extended,bachelor,1/21/11,employed,f,65742,urban,married,79,6,0,0,1,personal auto,personal l3,offer2,call center,277,four-door car,medsize
oregon,6672,no,extended,college,2/13/11,employed,f,56830,urban,married,83,19,27,0,9,personal auto,personal l1,offer2,agent,319,two-door car,medsize
california,16407,no,premium,bachelor,1/12/11,employed,m,22103,rural,single,109,16,31,0,2,personal auto,personal l2,offer1,agent,160,four-door car,large
arizona,9371,no,basic,bachelor,2/1/11,employed,f,66325,urban,married,117,10,10,0,5,corporate auto,corporate l2,offer1,agent,497,suv,medsize
arizona,4270,yes,extended,college,1/19/11,unemployed,m,83124,suburban,married,122,27,2,0,1,personal auto,personal l3,offer2,agent,725,suv,medsize
california,5799,no,basic,college,1/3/11,employed,m,60689,rural,single,74,29,67,0,7,corporate auto,corporate l2,offer2,branch,5,four-door car,medsize
oregon,5096,yes,basic,master,1/28/11,disabled,f,22886,suburban,divorced,65,9,81,0,3,corporate auto,corporate l2,offer1,agent,312,four-door car,small
nevada,15563,no,premium,bachelor,1/19/11,unemployed,f,91530,suburban,married,253,15,40,5,7,personal auto,personal l1,offer3,web,1214,luxury car,medsize
washington,7475,no,basic,bachelor,1/26/11,disabled,f,29633,urban,married,196,26,57,0,1,corporate auto,corporate l3,offer1,agent,534,luxury car,medsize
oregon,9986,no,extended,high school or below,1/22/11,disabled,m,24067,suburban,single,132,12,2,0,6,corporate auto,corporate l3,offer2,branch,633,sports car,medsize
california,5568,no,extended,college,2/21/11,employed,f,51489,rural,married,139,14,10,0,1,personal auto,personal l2,offer1,web,236,suv,medsize
washington,20579,no,basic,bachelor,1/16/11,unemployed,m,84105,suburban,single,69,5,26,0,2,personal auto,personal l3,offer3,call center,566,four-door car,medsize
oregon,8276,no,extended,high school or below,2/18/11,unemployed,m,84907,suburban,single,82,29,92,0,2,personal auto,personal l2,offer3,branch,590,four-door car,medsize
california,4014,no,extended,master,2/17/11,employed,f,54054,rural,married,99,7,55,0,1,personal auto,personal l2,offer2,branch,5,four-door car,medsize
arizona,12989,no,basic,bachelor,2/24/11,unemployed,m,21033,suburban,single,65,16,3,0,2,personal auto,personal l3,offer1,web,312,four-door car,medsize
california,15114,yes,basic,high school or below,1/19/11,medical leave,f,28513,suburban,married,100,4,22,1,2,corporate auto,corporate l2,offer2,call center,480,suv,medsize
washington,4709,no,basic,high school or below,2/12/11,unemployed,f,41224,suburban,single,66,17,29,0,3,personal auto,personal l1,offer1,agent,470,four-door car,small
oregon,2452,no,basic,college,2/14/11,employed,m,79898,urban,married,62,5,86,1,1,corporate auto,corporate l1,offer4,agent,271,four-door car,medsize
california,3919,yes,extended,high school or below,1/5/11,employed,f,66676,suburban,married,97,0,40,0,1,personal auto,personal l1,offer3,agent,558,four-door car,small
california,4716,no,basic,high school or below,2/25/11,employed,m,25746,suburban,married,61,0,84,1,3,corporate auto,corporate l3,offer2,agent,292,four-door car,medsize
oregon,12332,no,basic,college,2/28/11,employed,m,85789,rural,married,105,18,54,2,2,personal auto,personal l1,offer1,agent,122,sports car,medsize
california,35862,no,extended,high school or below,2/26/11,medical leave,m,26376,suburban,divorced,121,7,19,0,2,personal auto,personal l3,offer1,agent,580,suv,small
oregon,2398,no,basic,college,2/14/11,disabled,m,14321,suburban,single,65,20,72,0,1,personal auto,personal l2,offer1,branch,423,four-door car,medsize
california,6005,yes,extended,college,2/23/11,retired,m,13528,suburban,single,86,21,35,0,3,personal auto,personal l3,offer1,agent,412,four-door car,medsize
oregon,6265,no,extended,doctor,1/13/11,unemployed,f,97116,suburban,married,84,18,25,1,4,corporate auto,corporate l1,offer1,agent,481,four-door car,medsize
california,8013,no,basic,bachelor,1/17/11,employed,m,65636,suburban,married,67,15,72,0,2,personal auto,personal l2,offer2,call center,321,four-door car,medsize
washington,4979,no,basic,high school or below,1/29/11,unemployed,m,78763,suburban,single,71,17,57,0,5,personal auto,personal l1,offer2,agent,340,two-door car,medsize
arizona,4834,yes,basic,college,1/31/11,employed,f,38713,suburban,divorced,66,31,69,4,6,corporate auto,corporate l3,offer2,call center,316,four-door car,medsize
nevada,3288,no,basic,college,1/16/11,unemployed,m,25052,suburban,single,102,16,1,1,1,personal auto,personal l3,offer1,call center,734,suv,large
arizona,5525,no,basic,college,2/1/11,employed,f,64816,suburban,married,69,30,33,0,7,corporate auto,corporate l2,offer3,agent,331,four-door car,small
washington,9031,yes,extended,master,2/23/11,unemployed,f,57894,suburban,single,122,15,47,0,9,corporate auto,corporate l2,offer1,branch,650,sports car,medsize
california,4620,no,extended,college,2/26/11,unemployed,f,82251,suburban,single,130,11,0,0,1,personal auto,personal l2,offer3,agent,936,suv,medsize
washington,5552,no,basic,high school or below,2/27/11,employed,m,50470,suburban,divorced,71,1,87,0,8,corporate auto,corporate l2,offer4,call center,377,two-door car,large
nevada,3842,no,premium,college,1/19/11,disabled,m,27906,suburban,divorced,102,5,57,0,1,personal auto,personal l3,offer2,call center,489,four-door car,medsize
california,5093,no,basic,bachelor,1/6/11,employed,f,91814,urban,married,63,30,99,0,3,personal auto,personal l1,offer3,call center,167,two-door car,medsize
oregon,16794,no,basic,high school or below,2/24/11,employed,f,38399,urban,married,106,12,6,0,2,personal auto,personal l3,offer2,web,368,suv,medsize
oregon,24278,no,extended,master,2/26/11,retired,f,20983,urban,single,97,10,52,1,2,personal auto,personal l2,offer1,branch,451,four-door car,medsize
california,7462,yes,extended,college,1/28/11,employed,f,70263,rural,married,93,30,66,0,5,personal auto,personal l3,offer2,call center,7,two-door car,small
california,3735,no,basic,bachelor,1/4/11,unemployed,m,77694,suburban,single,110,3,16,0,1,personal auto,personal l3,offer1,agent,792,suv,medsize
oregon,2891,no,basic,bachelor,2/2/11,employed,f,80590,rural,married,71,4,19,0,1,corporate auto,corporate l3,offer4,branch,134,four-door car,small
washington,11981,yes,basic,master,1/20/11,retired,f,21514,urban,married,62,0,59,0,2,personal auto,personal l3,offer1,agent,257,two-door car,medsize
california,2347,no,basic,college,2/2/11,employed,m,31617,urban,single,62,17,29,1,1,personal auto,personal l1,offer1,agent,244,four-door car,medsize
oregon,4282,yes,basic,college,2/26/11,employed,f,40864,rural,married,109,16,70,1,1,personal auto,personal l3,offer1,agent,166,suv,medsize
arizona,5380,yes,basic,college,2/24/11,employed,f,55350,suburban,married,67,0,13,0,9,personal auto,personal l3,offer1,agent,321,four-door car,medsize
oregon,5828,no,basic,college,2/16/11,employed,f,31364,suburban,married,74,28,47,0,3,personal auto,personal l3,offer2,web,461,four-door car,small
california,5048,no,extended,high school or below,2/17/11,employed,f,34452,suburban,married,126,2,51,0,1,personal auto,personal l1,offer4,agent,604,suv,large
oregon,7737,no,basic,college,1/19/11,employed,f,50296,rural,married,65,26,62,1,2,personal auto,personal l2,offer1,call center,46,two-door car,medsize
california,7950,no,basic,high school or below,1/21/11,employed,m,26189,suburban,single,69,6,42,0,2,personal auto,personal l2,offer3,agent,331,four-door car,small
oregon,4111,no,premium,college,1/21/11,employed,f,65085,urban,married,103,20,55,0,1,personal auto,personal l2,offer2,call center,480,four-door car,medsize
washington,8007,yes,basic,high school or below,1/2/11,unemployed,f,18443,suburban,divorced,112,12,93,0,3,personal auto,personal l3,offer1,web,537,sports car,medsize
arizona,4873,no,extended,high school or below,1/5/11,retired,f,18866,suburban,married,126,4,62,0,1,personal auto,personal l2,offer3,call center,604,suv,medsize
oregon,2252,no,basic,college,1/29/11,unemployed,f,73182,suburban,single,65,13,84,0,1,personal auto,personal l3,offer3,web,468,two-door car,medsize
oregon,4957,no,basic,college,1/15/11,employed,f,62803,suburban,married,62,16,12,0,5,personal auto,personal l3,offer2,web,400,two-door car,small
oregon,2655,no,basic,high school or below,1/4/11,employed,f,83460,suburban,divorced,66,20,18,0,1,corporate auto,corporate l2,offer2,call center,443,four-door car,medsize
washington,5898,no,extended,bachelor,2/17/11,employed,f,53998,suburban,divorced,78,5,38,5,8,personal auto,personal l3,offer1,call center,414,four-door car,medsize
california,17723,no,extended,college,2/18/11,employed,f,25771,suburban,married,222,21,58,0,4,personal auto,personal l1,offer1,branch,1253,luxury suv,medsize
california,5108,no,basic,college,1/9/11,disabled,m,26784,suburban,married,67,14,82,0,8,corporate auto,corporate l3,offer3,branch,482,four-door car,large
california,4517,no,basic,bachelor,2/9/11,medical leave,f,25261,suburban,married,118,31,9,0,1,personal auto,personal l3,offer4,branch,566,suv,medsize
arizona,5310,no,basic,college,2/2/11,unemployed,f,19438,suburban,married,72,17,11,1,3,personal auto,personal l1,offer1,branch,345,four-door car,small
nevada,2773,no,basic,high school or below,1/26/11,employed,f,73478,urban,married,68,2,38,0,1,personal auto,personal l2,offer2,call center,241,four-door car,medsize
arizona,5504,yes,basic,bachelor,2/8/11,unemployed,f,23451,suburban,married,73,18,45,0,5,corporate auto,corporate l3,offer1,call center,350,four-door car,medsize
oregon,6960,no,extended,college,2/4/11,employed,m,74487,rural,divorced,88,8,86,0,3,personal auto,personal l1,offer1,call center,16,four-door car,medsize
california,5010,yes,basic,bachelor,1/19/11,employed,f,64014,urban,single,63,35,27,4,7,corporate auto,corporate l3,offer1,agent,295,four-door car,large
oregon,8488,no,basic,high school or below,1/4/11,employed,f,80213,suburban,married,70,12,17,0,2,personal auto,personal l3,offer1,branch,440,two-door car,medsize
washington,2471,yes,basic,high school or below,1/15/11,employed,m,95697,rural,married,61,16,55,0,1,personal auto,personal l3,offer2,agent,114,two-door car,medsize
oregon,5876,no,basic,college,2/9/11,employed,f,32848,urban,married,74,13,59,0,5,personal auto,personal l2,offer3,call center,250,four-door car,medsize
california,12313,no,premium,college,1/17/11,unemployed,m,25724,suburban,single,116,7,57,0,2,personal auto,personal l1,offer1,call center,835,two-door car,medsize
oregon,3982,no,extended,doctor,1/3/11,employed,f,38500,urban,married,99,26,49,1,1,corporate auto,corporate l2,offer1,agent,423,four-door car,large
california,8237,no,basic,bachelor,1/17/11,medical leave,f,23940,suburban,married,107,13,34,0,7,personal auto,personal l3,offer1,call center,513,suv,small
california,12487,no,premium,high school or below,1/11/11,employed,f,31283,suburban,married,104,13,3,0,2,personal auto,personal l3,offer1,agent,499,four-door car,medsize
oregon,5366,no,basic,doctor,2/22/11,unemployed,f,80576,urban,married,70,5,29,0,4,personal auto,personal l2,offer1,agent,223,four-door car,large
arizona,2517,no,basic,college,2/26/11,unemployed,f,26920,rural,married,69,18,71,0,1,personal auto,personal l3,offer2,call center,42,four-door car,medsize
california,5583,no,basic,high school or below,2/22/11,employed,f,57925,urban,single,72,33,13,1,3,corporate auto,corporate l2,offer1,agent,204,two-door car,medsize
california,7356,no,extended,high school or below,1/9/11,employed,m,81145,urban,married,92,34,92,0,8,corporate auto,corporate l2,offer2,call center,321,two-door car,large
california,10144,no,extended,college,1/29/11,medical leave,f,27231,suburban,married,88,0,7,0,2,personal auto,personal l2,offer1,branch,422,four-door car,medsize
oregon,8672,no,basic,college,1/26/11,employed,f,22547,suburban,divorced,112,7,60,0,3,corporate auto,corporate l3,offer1,agent,537,suv,medsize
california,2674,yes,basic,college,2/15/11,employed,m,56342,suburban,single,69,12,89,0,1,special auto,special l3,offer2,call center,331,four-door car,small
california,34611,yes,basic,high school or below,1/14/11,employed,f,20090,suburban,married,109,10,59,0,2,special auto,special l3,offer2,agent,523,sports car,medsize
california,8071,no,basic,bachelor,2/7/11,employed,m,72149,rural,married,101,18,43,0,6,personal auto,personal l2,offer2,call center,69,suv,medsize
nevada,2511,no,basic,college,1/15/11,medical leave,m,17658,suburban,married,65,10,44,0,1,personal auto,personal l3,offer3,web,312,four-door car,small
california,7255,no,extended,college,1/5/11,medical leave,m,10710,suburban,married,94,12,33,0,7,personal auto,personal l2,offer1,branch,451,two-door car,small
