,Country (or dependency),Population 2020,Yearly Change,Net Change,Density  (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
27,South Korea,51269185,0.09%,"43,877",527,"97,230","11,731",1.1,44,82%,0.66%
28,Colombia,50882891,1.08%,"543,448",46,"1,109,500","204,796",1.8,31,80%,0.65%
29,Spain,46754778,0.04%,"18,002",94,"498,800","40,000",1.3,45,80%,0.60%
30,Uganda,45741007,3.32%,"1,471,413",229,"199,810","168,694",5,17,26%,0.59%
31,Argentina,45195774,0.93%,"415,097",17,"2,736,690","4,800",2.3,32,93%,0.58%
32,Algeria,43851044,1.85%,"797,990",18,"2,381,740","-10,000",3.1,29,73%,0.56%
33,Sudan,43849260,2.42%,"1,036,022",25,"1,765,048","-50,000",4.4,20,35%,0.56%
34,Ukraine,43733762,-0.59%,"-259,876",75,"579,320","10,000",1.4,41,69%,0.56%
35,Iraq,40222493,2.32%,"912,710",93,"434,320","7,834",3.7,21,73%,0.52%
36,Afghanistan,38928346,2.33%,"886,592",60,"652,860","-62,920",4.6,18,25%,0.50%
37,Poland,37846611,-0.11%,"-41,157",124,"306,230","-29,395",1.4,42,60%,0.49%
38,Canada,37742154,0.89%,"331,107",4,"9,093,510","242,032",1.5,41,81%,0.48%
39,Morocco,36910560,1.20%,"438,791",83,"446,300","-51,419",2.4,30,64%,0.47%
40,Saudi Arabia,34813871,1.59%,"545,343",16,"2,149,690","134,979",2.3,32,84%,0.45%
41,Uzbekistan,33469203,1.48%,"487,487",79,"425,400","-8,863",2.4,28,50%,0.43%
42,Peru,32971854,1.42%,"461,401",26,"1,280,000","99,069",2.3,31,79%,0.42%
43,Angola,32866272,3.27%,"1,040,977",26,"1,246,700","6,413",5.6,17,67%,0.42%
44,Malaysia,32365999,1.30%,"416,222",99,"328,550","50,000",2,30,78%,0.42%
45,Mozambique,31255435,2.93%,"889,399",40,"786,380","-5,000",4.9,18,38%,0.40%
46,Ghana,31072940,2.15%,"655,084",137,"227,540","-10,000",3.9,22,57%,0.40%
47,Yemen,29825964,2.28%,"664,042",56,"527,970","-30,000",3.8,20,38%,0.38%
48,Nepal,29136808,1.85%,"528,098",203,"143,350","41,710",1.9,25,21%,0.37%
49,Venezuela,28435940,-0.28%,"-79,889",32,"882,050","-653,249",2.3,30,N.A.,0.36%
50,Madagascar,27691018,2.68%,"721,711",48,"581,795","-1,500",4.1,20,39%,0.36%
51,Cameroon,26545863,2.59%,"669,483",56,"472,710","-4,800",4.6,19,56%,0.34%
52,Côte d'Ivoire,26378274,2.57%,"661,730",83,"318,000","-8,000",4.7,19,51%,0.34%
53,North Korea,25778816,0.44%,"112,655",214,"120,410","-5,403",1.9,35,63%,0.33%
54,Australia,25499884,1.18%,"296,686",3,"7,682,300","158,246",1.8,38,86%,0.33%
55,Niger,24206644,3.84%,"895,929",19,"1,266,700","4,000",7,15,17%,0.31%
56,Taiwan,23816775,0.18%,"42,899",673,"35,410","30,001",1.2,42,79%,0.31%
57,Sri Lanka,21413249,0.42%,"89,516",341,"62,710","-97,986",2.2,34,18%,0.27%
58,Burkina Faso,20903273,2.86%,"581,895",76,"273,600","-25,000",5.2,18,31%,0.27%
59,Mali,20250833,3.02%,"592,802",17,"1,220,190","-40,000",5.9,16,44%,0.26%
60,Romania,19237691,-0.66%,"-126,866",84,"230,170","-73,999",1.6,43,55%,0.25%
61,Malawi,19129952,2.69%,"501,205",203,"94,280","-16,053",4.3,18,18%,0.25%
62,Chile,19116201,0.87%,"164,163",26,"743,532","111,708",1.7,35,85%,0.25%
63,Kazakhstan,18776707,1.21%,"225,280",7,"2,699,700","-18,000",2.8,31,58%,0.24%
64,Zambia,18383955,2.93%,"522,925",25,"743,390","-8,000",4.7,18,45%,0.24%
65,Guatemala,17915568,1.90%,"334,096",167,"107,160","-9,215",2.9,23,52%,0.23%
66,Ecuador,17643054,1.55%,"269,392",71,"248,360","36,400",2.4,28,63%,0.23%
67,Syria,17500658,2.52%,"430,523",95,"183,630","-427,391",2.8,26,60%,0.22%
68,Netherlands,17134872,0.22%,"37,742",508,"33,720","16,000",1.7,43,92%,0.22%
69,Senegal,16743927,2.75%,"447,563",87,"192,530","-20,000",4.7,19,49%,0.21%
70,Cambodia,16718965,1.41%,"232,423",95,"176,520","-30,000",2.5,26,24%,0.21%
71,Chad,16425864,3.00%,"478,988",13,"1,259,200","2,000",5.8,17,23%,0.21%
72,Somalia,15893222,2.92%,"450,317",25,"627,340","-40,000",6.1,17,47%,0.20%
73,Zimbabwe,14862924,1.48%,"217,456",38,"386,850","-116,858",3.6,19,38%,0.19%
74,Guinea,13132795,2.83%,"361,549",53,"245,720","-4,000",4.7,18,39%,0.17%
75,Rwanda,12952218,2.58%,"325,268",525,"24,670","-9,000",4.1,20,18%,0.17%
76,Benin,12123200,2.73%,"322,049",108,"112,760","-2,000",4.9,19,48%,0.16%
77,Burundi,11890784,3.12%,"360,204",463,"25,680","2,001",5.5,17,14%,0.15%
78,Tunisia,11818619,1.06%,"123,900",76,"155,360","-4,000",2.2,33,70%,0.15%
79,Bolivia,11673021,1.39%,"159,921",11,"1,083,300","-9,504",2.8,26,69%,0.15%
80,Belgium,11589623,0.44%,"50,295",383,"30,280","48,000",1.7,42,98%,0.15%
81,Haiti,11402528,1.24%,"139,451",414,"27,560","-35,000",3,24,57%,0.15%
82,Cuba,11326616,-0.06%,"-6,867",106,"106,440","-14,400",1.6,42,78%,0.15%
83,South Sudan,11193725,1.19%,"131,612",18,"610,952","-174,200",4.7,19,25%,0.14%
84,Dominican Republic,10847910,1.01%,"108,952",225,"48,320","-30,000",2.4,28,85%,0.14%
85,Czech Republic (Czechia),10708981,0.18%,"19,772",139,"77,240","22,011",1.6,43,74%,0.14%
86,Greece,10423054,-0.48%,"-50,401",81,"128,900","-16,000",1.3,46,85%,0.13%
87,Jordan,10203134,1.00%,"101,440",115,"88,780","10,220",2.8,24,91%,0.13%
88,Portugal,10196709,-0.29%,"-29,478",111,"91,590","-6,000",1.3,46,66%,0.13%
89,Azerbaijan,10139177,0.91%,"91,459",123,"82,658","1,200",2.1,32,56%,0.13%
90,Sweden,10099265,0.63%,"62,886",25,"410,340","40,000",1.9,41,88%,0.13%
91,Honduras,9904607,1.63%,"158,490",89,"111,890","-6,800",2.5,24,57%,0.13%
92,United Arab Emirates,9890402,1.23%,"119,873",118,"83,600","40,000",1.4,33,86%,0.13%
93,Hungary,9660351,-0.25%,"-24,328",107,"90,530","6,000",1.5,43,72%,0.12%
94,Tajikistan,9537645,2.32%,"216,627",68,"139,960","-20,000",3.6,22,27%,0.12%
95,Belarus,9449323,-0.03%,"-3,088",47,"202,910","8,730",1.7,40,79%,0.12%
96,Austria,9006398,0.57%,"51,296",109,"82,409","65,000",1.5,43,57%,0.12%
97,Papua New Guinea,8947024,1.95%,"170,915",20,"452,860",-800,3.6,22,13%,0.11%
98,Serbia,8737371,-0.40%,"-34,864",100,"87,460","4,000",1.5,42,56%,0.11%
99,Israel,8655535,1.60%,"136,158",400,"21,640","10,000",3,30,93%,0.11%
100,Switzerland,8654622,0.74%,"63,257",219,"39,516","52,000",1.5,43,74%,0.11%
101,Togo,8278724,2.43%,"196,358",152,"54,390","-2,000",4.4,19,43%,0.11%
102,Sierra Leone,7976983,2.10%,"163,768",111,"72,180","-4,200",4.3,19,43%,0.10%
103,Hong Kong,7496981,0.82%,"60,827","7,140","1,050","29,308",1.3,45,N.A.,0.10%
104,Laos,7275560,1.48%,"106,105",32,"230,800","-14,704",2.7,24,36%,0.09%
105,Paraguay,7132538,1.25%,"87,902",18,"397,300","-16,556",2.4,26,62%,0.09%
106,Bulgaria,6948445,-0.74%,"-51,674",64,"108,560","-4,800",1.6,45,76%,0.09%
107,Libya,6871292,1.38%,"93,840",4,"1,759,540","-1,999",2.3,29,78%,0.09%
108,Lebanon,6825445,-0.44%,"-30,268",667,"10,230","-30,012",2.1,30,78%,0.09%
109,Nicaragua,6624554,1.21%,"79,052",55,"120,340","-21,272",2.4,26,57%,0.08%
110,Kyrgyzstan,6524195,1.69%,"108,345",34,"191,800","-4,000",3,26,36%,0.08%
111,El Salvador,6486205,0.51%,"32,652",313,"20,720","-40,539",2.1,28,73%,0.08%
112,Turkmenistan,6031200,1.50%,"89,111",13,"469,930","-5,000",2.8,27,53%,0.08%
113,Singapore,5850342,0.79%,"46,005","8,358",700,"27,028",1.2,42,N.A.,0.08%
114,Denmark,5792202,0.35%,"20,326",137,"42,430","15,200",1.8,42,88%,0.07%
115,Finland,5540720,0.15%,"8,564",18,"303,890","14,000",1.5,43,86%,0.07%
116,Congo,5518087,2.56%,"137,579",16,"341,500","-4,000",4.5,19,70%,0.07%
117,Slovakia,5459642,0.05%,"2,629",114,"48,088","1,485",1.5,41,54%,0.07%
118,Norway,5421241,0.79%,"42,384",15,"365,268","28,000",1.7,40,83%,0.07%
119,Oman,5106626,2.65%,"131,640",16,"309,500","87,400",2.9,31,87%,0.07%
120,State of Palestine,5101414,2.41%,"119,994",847,"6,020","-10,563",3.7,21,80%,0.07%
121,Costa Rica,5094118,0.92%,"46,557",100,"51,060","4,200",1.8,33,80%,0.07%
122,Liberia,5057681,2.44%,"120,307",53,"96,320","-5,000",4.4,19,53%,0.06%
123,Ireland,4937786,1.13%,"55,291",72,"68,890","23,604",1.8,38,63%,0.06%
124,Central African Republic,4829767,1.78%,"84,582",8,"622,980","-40,000",4.8,18,43%,0.06%
125,New Zealand,4822233,0.82%,"39,170",18,"263,310","14,881",1.9,38,87%,0.06%
126,Mauritania,4649658,2.74%,"123,962",5,"1,030,700","5,000",4.6,20,57%,0.06%
127,Panama,4314767,1.61%,"68,328",58,"74,340","11,200",2.5,30,68%,0.06%
128,Kuwait,4270571,1.51%,"63,488",240,"17,820","39,520",2.1,37,N.A.,0.05%
129,Croatia,4105267,-0.61%,"-25,037",73,"55,960","-8,001",1.4,44,58%,0.05%
130,Moldova,4033963,-0.23%,"-9,300",123,"32,850","-1,387",1.3,38,43%,0.05%
131,Georgia,3989167,-0.19%,"-7,598",57,"69,490","-10,000",2.1,38,58%,0.05%
132,Eritrea,3546421,1.41%,"49,304",35,"101,000","-39,858",4.1,19,63%,0.05%
133,Uruguay,3473730,0.35%,"11,996",20,"175,020","-3,000",2,36,96%,0.04%
134,Bosnia and Herzegovina,3280819,-0.61%,"-20,181",64,"51,000","-21,585",1.3,43,52%,0.04%
135,Mongolia,3278290,1.65%,"53,123",2,"1,553,560",-852,2.9,28,67%,0.04%
136,Armenia,2963243,0.19%,"5,512",104,"28,470","-4,998",1.8,35,63%,0.04%
137,Jamaica,2961167,0.44%,"12,888",273,"10,830","-11,332",2,31,55%,0.04%
138,Qatar,2881053,1.73%,"48,986",248,"11,610","40,000",1.9,32,96%,0.04%
139,Albania,2877797,-0.11%,"-3,120",105,"27,400","-14,000",1.6,36,63%,0.04%
140,Puerto Rico,2860853,-2.47%,"-72,555",323,"8,870","-97,986",1.2,44,N.A.,0.04%
141,Lithuania,2722289,-1.35%,"-37,338",43,"62,674","-32,780",1.7,45,71%,0.03%
142,Namibia,2540905,1.86%,"46,375",3,"823,290","-4,806",3.4,22,55%,0.03%
143,Gambia,2416668,2.94%,"68,962",239,"10,120","-3,087",5.3,18,59%,0.03%
144,Botswana,2351627,2.08%,"47,930",4,"566,730","3,000",2.9,24,73%,0.03%
145,Gabon,2225734,2.45%,"53,155",9,"257,670","3,260",4,23,87%,0.03%
146,Lesotho,2142249,0.80%,"16,981",71,"30,360","-10,047",3.2,24,31%,0.03%
147,North Macedonia,2083374,0.00%,-85,83,"25,220","-1,000",1.5,39,59%,0.03%
148,Slovenia,2078938,0.01%,284,103,"20,140","2,000",1.6,45,55%,0.03%
149,Guinea-Bissau,1968001,2.45%,"47,079",70,"28,120","-1,399",4.5,19,45%,0.03%
150,Latvia,1886198,-1.08%,"-20,545",30,"62,200","-14,837",1.7,44,69%,0.02%
151,Bahrain,1701575,3.68%,"60,403","2,239",760,"47,800",2,32,89%,0.02%
152,Equatorial Guinea,1402985,3.47%,"46,999",50,"28,050","16,000",4.6,22,73%,0.02%
153,Trinidad and Tobago,1399488,0.32%,"4,515",273,"5,130",-800,1.7,36,52%,0.02%
154,Estonia,1326535,0.07%,887,31,"42,390","3,911",1.6,42,68%,0.02%
155,Timor-Leste,1318445,1.96%,"25,326",89,"14,870","-5,385",4.1,21,33%,0.02%
156,Mauritius,1271768,0.17%,"2,100",626,"2,030",0,1.4,37,41%,0.02%
157,Cyprus,1207359,0.73%,"8,784",131,"9,240","5,000",1.3,37,67%,0.02%
158,Eswatini,1160164,1.05%,"12,034",67,"17,200","-8,353",3,21,30%,0.01%
159,Djibouti,988000,1.48%,"14,440",43,"23,180",900,2.8,27,79%,0.01%
160,Fiji,896445,0.73%,"6,492",49,"18,270","-6,202",2.8,28,59%,0.01%
161,Réunion,895312,0.72%,"6,385",358,"2,500","-1,256",2.3,36,100%,0.01%
162,Comoros,869601,2.20%,"18,715",467,"1,861","-2,000",4.2,20,29%,0.01%
163,Guyana,786552,0.48%,"3,786",4,"196,850","-6,000",2.5,27,27%,0.01%
164,Bhutan,771608,1.12%,"8,516",20,"38,117",320,2,28,46%,0.01%
165,Solomon Islands,686884,2.55%,"17,061",25,"27,990","-1,600",4.4,20,23%,0.01%
166,Macao,649335,1.39%,"8,890","21,645",30,"5,000",1.2,39,N.A.,0.01%
167,Montenegro,628066,0.01%,79,47,"13,450",-480,1.8,39,68%,0.01%
168,Luxembourg,625978,1.66%,"10,249",242,"2,590","9,741",1.5,40,88%,0.01%
169,Western Sahara,597339,2.55%,"14,876",2,"266,000","5,582",2.4,28,87%,0.01%
170,Suriname,586632,0.90%,"5,260",4,"156,000","-1,000",2.4,29,65%,0.01%
171,Cabo Verde,555987,1.10%,"6,052",138,"4,030","-1,342",2.3,28,68%,0.01%
172,Micronesia,548914,1.00%,"5,428",784,700,"-2,957",2.9,27,68%,0.01%
173,Maldives,540544,1.81%,"9,591","1,802",300,"11,370",1.9,30,35%,0.01%
174,Malta,441543,0.27%,"1,171","1,380",320,900,1.5,43,93%,0.01%
175,Brunei,437479,0.97%,"4,194",83,"5,270",0,1.8,32,80%,0.01%
176,Guadeloupe,400124,0.02%,68,237,"1,690","-1,440",2.2,44,N.A.,0.01%
177,Belize,397628,1.86%,"7,275",17,"22,810","1,200",2.3,25,46%,0.01%
178,Bahamas,393244,0.97%,"3,762",39,"10,010","1,000",1.8,32,86%,0.01%
179,Martinique,375265,-0.08%,-289,354,"1,060",-960,1.9,47,92%,0.00%
180,Iceland,341243,0.65%,"2,212",3,"100,250",380,1.8,37,94%,0.00%
181,Vanuatu,307145,2.42%,"7,263",25,"12,190",120,3.8,21,24%,0.00%
182,French Guiana,298682,2.70%,"7,850",4,"82,200","1,200",3.4,25,87%,0.00%
183,Barbados,287375,0.12%,350,668,430,-79,1.6,40,31%,0.00%
184,New Caledonia,285498,0.97%,"2,748",16,"18,280",502,2,34,72%,0.00%
185,French Polynesia,280908,0.58%,"1,621",77,"3,660","-1,000",2,34,64%,0.00%
186,Mayotte,272815,2.50%,"6,665",728,375,0,3.7,20,46%,0.00%
187,Sao Tome & Principe,219159,1.91%,"4,103",228,960,"-1,680",4.4,19,74%,0.00%
188,Samoa,198414,0.67%,"1,317",70,"2,830","-2,803",3.9,22,18%,0.00%
189,Saint Lucia,183627,0.46%,837,301,610,0,1.4,34,19%,0.00%
190,Channel Islands,173863,0.93%,"1,604",915,190,"1,351",1.5,43,30%,0.00%
191,Guam,168775,0.89%,"1,481",313,540,-506,2.3,31,95%,0.00%
192,Curaçao,164093,0.41%,669,370,444,515,1.8,42,89%,0.00%
193,Kiribati,119449,1.57%,"1,843",147,810,-800,3.6,23,57%,0.00%
194,Grenada,112523,0.46%,520,331,340,-200,2.1,32,35%,0.00%
195,St. Vincent & Grenadines,110940,0.32%,351,284,390,-200,1.9,33,53%,0.00%
196,Aruba,106766,0.43%,452,593,180,201,1.9,41,44%,0.00%
197,Tonga,105695,1.15%,"1,201",147,720,-800,3.6,22,24%,0.00%
198,U.S. Virgin Islands,104425,-0.15%,-153,298,350,-451,2,43,96%,0.00%
199,Seychelles,98347,0.62%,608,214,460,-200,2.5,34,56%,0.00%
200,Antigua and Barbuda,97929,0.84%,811,223,440,0,2,34,26%,0.00%
201,Isle of Man,85033,0.53%,449,149,570,,N.A.,N.A.,53%,0.00%
202,Andorra,77265,0.16%,123,164,470,,N.A.,N.A.,88%,0.00%
203,Dominica,71986,0.25%,178,96,750,,N.A.,N.A.,74%,0.00%
204,Cayman Islands,65722,1.19%,774,274,240,,N.A.,N.A.,97%,0.00%
205,Bermuda,62278,-0.36%,-228,"1,246",50,,N.A.,N.A.,97%,0.00%
206,Marshall Islands,59190,0.68%,399,329,180,,N.A.,N.A.,70%,0.00%
207,Northern Mariana Islands,57559,0.60%,343,125,460,,N.A.,N.A.,88%,0.00%
208,Greenland,56770,0.17%,98,0,"410,450",,N.A.,N.A.,87%,0.00%
209,American Samoa,55191,-0.22%,-121,276,200,,N.A.,N.A.,88%,0.00%
210,Saint Kitts & Nevis,53199,0.71%,376,205,260,,N.A.,N.A.,33%,0.00%
211,Faeroe Islands,48863,0.38%,185,35,"1,396",,N.A.,N.A.,43%,0.00%
212,Sint Maarten,42876,1.15%,488,"1,261",34,,N.A.,N.A.,96%,0.00%
213,Monaco,39242,0.71%,278,"26,337",1,,N.A.,N.A.,N.A.,0.00%
214,Turks and Caicos,38717,1.38%,526,41,950,,N.A.,N.A.,89%,0.00%
215,Saint Martin,38666,1.75%,664,730,53,,N.A.,N.A.,0%,0.00%
216,Liechtenstein,38128,0.29%,109,238,160,,N.A.,N.A.,15%,0.00%
217,San Marino,33931,0.21%,71,566,60,,N.A.,N.A.,97%,0.00%
218,Gibraltar,33691,-0.03%,-10,"3,369",10,,N.A.,N.A.,N.A.,0.00%
219,British Virgin Islands,30231,0.67%,201,202,150,,N.A.,N.A.,52%,0.00%
220,Caribbean Netherlands,26223,0.94%,244,80,328,,N.A.,N.A.,75%,0.00%
221,Palau,18094,0.48%,86,39,460,,N.A.,N.A.,N.A.,0.00%
222,Cook Islands,17564,0.09%,16,73,240,,N.A.,N.A.,75%,0.00%
223,Anguilla,15003,0.90%,134,167,90,,N.A.,N.A.,N.A.,0.00%
224,Tuvalu,11792,1.25%,146,393,30,,N.A.,N.A.,62%,0.00%
225,Wallis & Futuna,11239,-1.69%,-193,80,140,,N.A.,N.A.,0%,0.00%
226,Nauru,10824,0.63%,68,541,20,,N.A.,N.A.,N.A.,0.00%
227,Saint Barthelemy,9877,0.30%,30,470,21,,N.A.,N.A.,0%,0.00%
228,Saint Helena,6077,0.30%,18,16,390,,N.A.,N.A.,27%,0.00%
229,Saint Pierre & Miquelon,5794,-0.48%,-28,25,230,,N.A.,N.A.,100%,0.00%
230,Montserrat,4992,0.06%,3,50,100,,N.A.,N.A.,10%,0.00%
231,Falkland Islands,3480,3.05%,103,0,"12,170",,N.A.,N.A.,66%,0.00%
232,Niue,1626,0.68%,11,6,260,,N.A.,N.A.,46%,0.00%
233,Tokelau,1357,1.27%,17,136,10,,N.A.,N.A.,0%,0.00%
234,Holy See,801,0.25%,2,"2,003",0,,N.A.,N.A.,N.A.,0.00%
